Время от начала полета (секунды),Высота над уровнем моря (метры),Масса корабля (тонны),Тангаж / угол наклона (градусы),Орбитальная скорость (м/с),Скорость относительно поверхности (м/с),Общая скорость (м/с),Апогейное расстояние (метры)
45.06,8518.2,31026.07,75.5,462.8,0.0,0.0,16652.4
45.16,8549.3,30997.58,75.4,463.6,0.0,0.0,16711.5
45.27,8596.2,30954.85,75.3,465.1,0.0,0.0,16799.9
45.37,8635.3,30919.24,75.2,466.1,0.0,0.0,16873.3
45.48,8674.5,30883.63,75.2,467.1,0.0,0.0,16946.6
45.60,8721.6,30840.90,75.0,468.1,0.0,0.0,17034.6
45.70,8753.1,30805.29,75.0,469.3,0.0,0.0,17108.1
45.82,8808.4,30762.56,74.8,470.3,0.0,0.0,17196.7
45.95,8840.0,30734.08,74.8,471.2,0.0,0.0,17256.2
46.06,8879.6,30698.47,74.7,472.4,0.0,0.0,17331.2
46.17,8927.2,30655.74,74.6,473.7,0.0,0.0,17422.1
46.29,8967.0,30620.13,74.5,474.6,0.0,0.0,17498.9
46.39,9014.8,30577.40,74.5,475.9,0.0,0.0,17592.4
46.49,9054.8,30541.79,74.4,477.0,0.0,0.0,17670.5
46.60,9094.8,30506.18,74.3,478.1,0.0,0.0,17748.6
46.72,9134.9,30470.57,74.3,479.1,0.0,0.0,17826.7
46.84,9191.2,30420.72,74.2,480.7,0.0,0.0,17936.1
46.97,9231.5,30385.11,74.1,481.8,0.0,0.0,18014.4
47.07,9263.9,30356.62,74.0,482.6,0.0,0.0,18077.4
47.18,9304.3,30321.01,73.9,483.9,0.0,0.0,18156.4
47.29,9353.0,30278.28,73.8,485.0,0.0,0.0,18251.9
47.40,9385.5,30249.79,73.8,485.9,0.0,0.0,18316.1
47.53,9434.4,30207.06,73.6,487.3,0.0,0.0,18413.3
47.66,9491.6,30157.21,73.5,488.9,0.0,0.0,18528.2
47.77,9540.7,30114.48,73.4,490.6,0.0,0.0,18628.2
47.91,9581.8,30078.87,73.3,491.6,0.0,0.0,18712.5
48.01,9631.2,30036.14,73.2,493.0,0.0,0.0,18813.6
48.12,9680.7,29993.41,73.1,494.4,0.0,0.0,18914.6
48.25,9722.1,29957.80,73.0,495.6,0.0,0.0,18998.7
48.37,9755.2,29929.31,73.0,496.6,0.0,0.0,19066.2
48.47,9796.7,29893.71,72.9,497.7,0.0,0.0,19150.9
48.57,9830.0,29865.22,72.8,498.7,0.0,0.0,19219.0
48.69,9871.7,29829.61,72.7,499.9,0.0,0.0,19304.6
48.82,9921.9,29786.88,72.6,501.4,0.0,0.0,19408.4
48.93,9972.2,29744.15,72.5,502.9,0.0,0.0,19513.5
49.05,10022.6,29701.42,72.4,504.4,0.0,0.0,19620.0
49.16,10064.7,29665.81,72.3,505.7,0.0,0.0,19710.1
49.28,10107.0,29630.20,72.2,507.0,0.0,0.0,19801.1
49.38,10149.3,29594.59,72.2,508.6,0.0,0.0,19892.1
49.50,10191.7,29558.98,72.1,509.6,0.0,0.0,19983.0
49.62,10242.8,29516.25,72.0,511.4,0.0,0.0,20092.0
49.75,10293.9,29473.52,71.9,512.7,0.0,0.0,20201.4
49.86,10336.7,29437.91,71.8,514.0,0.0,0.0,20292.9
49.96,10379.6,29402.30,71.7,515.3,0.0,0.0,20385.0
50.77,10673.9,16611.29,70.9,516.6,0.0,0.0,20668.8
50.89,10716.8,16598.24,70.9,516.7,0.0,0.0,20703.7
51.01,10768.1,16582.58,70.8,516.8,0.0,0.0,20746.2
51.12,10802.4,16572.14,70.7,516.8,0.0,0.0,20774.8
51.23,10853.7,16556.49,70.5,517.0,0.0,0.0,20818.3
51.35,10905.0,16540.83,70.3,517.1,0.0,0.0,20862.2
51.45,10947.7,16527.78,70.0,517.2,0.0,0.0,20899.3
51.58,10999.0,16512.12,69.7,517.5,0.0,0.0,20944.5
51.69,11050.3,16496.47,69.4,517.7,0.0,0.0,20990.7
51.80,11092.9,16483.42,69.2,517.9,0.0,0.0,21028.5
51.92,11144.2,16467.76,69.0,518.1,0.0,0.0,21073.3
52.04,11186.8,16454.71,68.8,518.3,0.0,0.0,21110.4
52.15,11229.4,16441.67,68.6,518.5,0.0,0.0,21147.7
52.27,11280.6,16426.01,68.5,518.8,0.0,0.0,21192.8
52.38,11331.7,16410.35,68.3,519.0,0.0,0.0,21238.7
52.50,11382.8,16394.69,68.3,519.3,0.0,0.0,21285.4
52.60,11425.4,16381.64,68.2,519.6,0.0,0.0,21325.1
52.70,11468.0,16368.60,68.2,519.9,0.0,0.0,21365.5
52.80,11510.5,16355.55,68.2,520.2,0.0,0.0,21406.7
52.92,11561.6,16339.89,68.2,520.5,0.0,0.0,21457.3
53.04,11612.7,16324.23,68.2,520.9,0.0,0.0,21509.0
53.15,11663.7,16308.58,68.2,521.3,0.0,0.0,21562.0
53.26,11706.3,16295.53,68.2,521.7,0.0,0.0,21607.0
53.38,11757.3,16279.87,68.2,522.2,0.0,0.0,21661.9
53.49,11808.4,16264.21,68.2,522.6,0.0,0.0,21717.8
53.61,11859.4,16248.55,68.3,523.1,0.0,0.0,21775.1
53.72,11902.0,16235.51,68.3,523.5,0.0,0.0,21823.8
53.84,11953.1,16219.85,68.3,524.1,0.0,0.0,21883.7
53.95,11995.7,16206.80,68.3,524.5,0.0,0.0,21934.2
54.06,12046.8,16191.14,68.4,525.1,0.0,0.0,21995.4
54.18,12098.0,16175.49,68.3,525.6,0.0,0.0,22057.2
54.30,12149.2,16159.83,68.3,526.2,0.0,0.0,22119.8
54.41,12191.8,16146.78,68.2,526.7,0.0,0.0,22172.5
54.51,12234.5,16133.73,68.1,527.1,0.0,0.0,22225.7
54.63,12285.7,16118.08,67.8,527.8,0.0,0.0,22290.0
54.74,12337.0,16102.42,67.6,528.4,0.0,0.0,22354.8
54.87,12388.3,16086.76,67.3,529.0,0.0,0.0,22419.7
54.99,12439.6,16071.10,67.1,529.7,0.0,0.0,22484.4
55.10,12490.9,16055.44,66.9,530.4,0.0,0.0,22549.3
55.22,12542.3,16039.79,66.8,531.0,0.0,0.0,22614.7
55.32,12585.2,16026.74,66.8,531.6,0.0,0.0,22669.8
55.45,12636.6,16011.08,66.7,532.3,0.0,0.0,22736.9
55.57,12688.1,15995.42,66.7,533.1,0.0,0.0,22804.5
55.67,12731.0,15982.38,66.7,533.7,0.0,0.0,22861.4
55.78,12773.9,15969.33,66.7,534.3,0.0,0.0,22918.9
55.90,12816.9,15956.28,66.8,534.9,0.0,0.0,22977.1
56.03,12851.3,15945.84,66.8,535.4,0.0,0.0,23024.4
56.16,12902.9,15930.18,66.8,536.2,0.0,0.0,23096.3
56.26,12945.9,15917.14,66.7,536.9,0.0,0.0,23157.0
56.37,12989.0,15904.09,66.6,537.5,0.0,0.0,23218.0
56.47,13032.1,15891.04,66.5,538.2,0.0,0.0,23279.1
56.58,13083.9,15875.38,66.3,539.0,0.0,0.0,23352.5
56.69,13127.1,15862.33,66.1,539.7,0.0,0.0,23413.7
56.80,13179.0,15846.68,65.8,540.5,0.0,0.0,23487.3
56.91,13222.3,15833.63,65.6,541.3,0.0,0.0,23548.8
57.02,13274.2,15817.97,65.4,542.1,0.0,0.0,23622.9
57.12,13317.5,15804.92,65.3,542.9,0.0,0.0,23684.7
57.25,13369.6,15789.27,65.1,543.7,0.0,0.0,23759.0
57.36,13421.7,15773.61,65.1,544.6,0.0,0.0,23834.0
57.47,13465.1,15760.56,65.1,545.4,0.0,0.0,23897.2
57.57,13508.6,15747.51,65.1,546.2,0.0,0.0,23961.3
57.69,13560.9,15731.85,65.1,547.1,0.0,0.0,24039.3
57.80,13613.2,15716.20,65.1,548.1,0.0,0.0,24118.1
57.90,13656.8,15703.15,65.2,548.8,0.0,0.0,24184.3
58.00,13700.4,15690.10,65.2,549.8,0.0,0.0,24251.2
58.11,13744.1,15677.05,65.1,550.5,0.0,0.0,24318.7
58.23,13796.6,15661.39,65.0,551.4,0.0,0.0,24400.5
58.33,13840.4,15648.35,64.9,552.3,0.0,0.0,24469.3
58.44,13893.1,15632.69,64.6,553.3,0.0,0.0,24552.3
58.56,13937.0,15619.64,64.4,554.1,0.0,0.0,24621.3
58.67,13989.7,15603.99,64.1,555.2,0.0,0.0,24703.7
58.79,14042.5,15588.33,63.8,556.2,0.0,0.0,24785.8
58.90,14086.6,15575.28,63.7,557.1,0.0,0.0,24854.4
59.02,14139.5,15559.62,63.5,558.1,0.0,0.0,24937.2
59.13,14192.5,15543.96,63.4,559.2,0.0,0.0,25020.6
59.24,14236.7,15530.92,63.4,560.1,0.0,0.0,25090.5
59.35,14289.8,15515.26,63.3,561.2,0.0,0.0,25174.7
59.45,14334.1,15502.21,63.4,562.3,0.0,0.0,25245.6
59.55,14378.5,15489.16,63.4,563.0,0.0,0.0,25317.1
59.66,14422.9,15476.11,63.4,564.0,0.0,0.0,25389.5
59.76,14476.3,15460.46,63.5,565.1,0.0,0.0,25477.6
59.87,14520.8,15447.41,63.5,566.1,0.0,0.0,25552.1
59.97,14565.4,15434.36,63.5,567.0,0.0,0.0,25627.5
60.10,14618.9,15418.70,63.4,568.2,0.0,0.0,25718.6
60.21,14672.6,15403.04,63.2,569.4,0.0,0.0,25810.1
60.32,14717.3,15390.00,63.0,570.4,0.0,0.0,25886.6
60.43,14771.1,15374.34,62.7,571.6,0.0,0.0,25978.4
60.55,14825.0,15358.68,62.4,572.8,0.0,0.0,26069.8
60.68,14879.0,15343.03,62.1,574.0,0.0,0.0,26160.7
60.79,14924.0,15329.98,61.9,575.0,0.0,0.0,26236.2
60.90,14978.1,15314.32,61.8,576.3,0.0,0.0,26327.0
61.01,15032.3,15298.66,61.7,577.5,0.0,0.0,26418.3
61.11,15077.5,15285.61,61.6,578.5,0.0,0.0,26495.1
61.23,15131.8,15269.96,61.6,579.8,0.0,0.0,26588.4
61.34,15177.1,15256.91,61.7,580.9,0.0,0.0,26667.2
61.45,15231.6,15241.25,61.7,582.2,0.0,0.0,26763.0
61.58,15286.2,15225.59,61.7,583.5,0.0,0.0,26859.9
61.68,15331.7,15212.54,61.8,584.6,0.0,0.0,26941.4
61.80,15386.5,15196.89,61.8,585.9,0.0,0.0,27040.3
61.91,15441.3,15181.23,61.7,587.2,0.0,0.0,27140.2
62.01,15487.1,15168.18,61.6,588.4,0.0,0.0,27223.8
62.12,15542.1,15152.52,61.4,589.7,0.0,0.0,27324.4
62.23,15588.0,15139.48,61.1,590.8,0.0,0.0,27408.0
62.35,15643.2,15123.82,60.8,592.2,0.0,0.0,27507.9
62.48,15698.4,15108.16,60.5,593.6,0.0,0.0,27607.6
62.60,15753.8,15092.50,60.2,595.0,0.0,0.0,27707.4
62.71,15809.2,15076.85,60.0,596.4,0.0,0.0,27807.7
62.81,15855.5,15063.80,59.9,597.6,0.0,0.0,27891.9
62.92,15911.1,15048.14,59.9,599.0,0.0,0.0,27993.3
63.06,15966.9,15032.48,59.8,600.4,0.0,0.0,28095.4
63.17,16022.7,15016.83,59.9,601.9,0.0,0.0,28198.4
63.30,16078.6,15001.17,59.9,603.3,0.0,0.0,28302.6
63.42,16134.6,14985.51,60.0,604.8,0.0,0.0,28408.3
63.53,16190.7,14969.85,60.0,606.3,0.0,0.0,28515.2
63.65,16246.9,14954.20,60.0,607.8,0.0,0.0,28622.9
63.75,16293.9,14941.15,60.0,609.0,0.0,0.0,28713.3
63.86,16340.9,14928.10,59.9,610.3,0.0,0.0,28804.3
63.98,16406.8,14909.83,59.6,612.0,0.0,0.0,28932.5
64.09,16454.0,14896.78,59.4,613.3,0.0,0.0,29024.3
64.20,16501.2,14883.74,59.1,614.6,0.0,0.0,29116.3
64.31,16558.0,14868.08,58.8,616.1,0.0,0.0,29226.2
64.44,16615.0,14852.42,58.5,617.7,0.0,0.0,29335.4
64.55,16672.0,14836.76,58.3,619.2,0.0,0.0,29444.5
64.65,16719.6,14823.71,58.2,620.5,0.0,0.0,29535.6
64.77,16776.8,14808.06,58.1,622.1,0.0,0.0,29645.8
64.89,16834.1,14792.40,58.0,623.7,0.0,0.0,29757.0
65.00,16881.9,14779.35,58.0,625.1,0.0,0.0,29850.6
65.11,16939.4,14763.69,58.0,626.7,0.0,0.0,29963.5
65.22,16987.4,14750.65,58.1,628.0,0.0,0.0,30058.2
65.33,17045.2,14734.99,58.1,629.6,0.0,0.0,30172.9
65.45,17103.0,14719.33,58.2,631.3,0.0,0.0,30288.8
65.55,17151.3,14706.28,58.2,632.6,0.0,0.0,30386.6
65.66,17209.3,14690.63,58.1,634.3,0.0,0.0,30505.2
65.77,17257.8,14677.58,58.0,635.7,0.0,0.0,30604.9
65.87,17306.3,14664.53,57.8,637.1,0.0,0.0,30704.6
66.00,17364.6,14648.87,57.5,638.8,0.0,0.0,30824.0
66.10,17413.4,14635.82,57.2,640.2,0.0,0.0,30923.2
66.22,17471.9,14620.17,56.9,641.9,0.0,0.0,31042.0
66.33,17530.6,14604.51,56.6,643.6,0.0,0.0,31160.6
66.46,17589.4,14588.85,56.3,645.3,0.0,0.0,31279.3
66.56,17638.5,14575.80,56.2,646.7,0.0,0.0,31378.2
66.67,17697.5,14560.15,56.1,648.5,0.0,0.0,31497.1
66.79,17756.6,14544.49,56.1,650.2,0.0,0.0,31616.6
66.90,17806.0,14531.44,56.1,651.6,0.0,0.0,31717.0
67.02,17865.3,14515.78,56.1,653.4,0.0,0.0,31838.6
67.12,17924.8,14500.13,56.2,655.2,0.0,0.0,31961.6
67.23,17974.4,14487.08,56.2,656.7,0.0,0.0,32065.4
67.34,18024.1,14474.03,56.3,658.1,0.0,0.0,32170.3
67.45,18083.9,14458.37,56.3,659.9,0.0,0.0,32297.3
67.56,18133.8,14445.32,56.2,661.4,0.0,0.0,32403.7
67.68,18193.8,14429.67,56.1,663.3,0.0,0.0,32532.1
67.79,18253.9,14414.01,55.9,665.1,0.0,0.0,32661.1
67.90,18304.2,14400.96,55.6,666.6,0.0,0.0,32768.7
68.02,18364.5,14385.30,55.3,668.4,0.0,0.0,32897.3
68.13,18425.0,14369.65,54.9,670.3,0.0,0.0,33025.0
68.25,18485.6,14353.99,54.6,672.1,0.0,0.0,33152.0
68.35,18536.2,14340.94,54.4,673.7,0.0,0.0,33257.7
68.48,18597.1,14325.28,54.3,675.5,0.0,0.0,33384.8
68.59,18658.0,14309.62,54.2,677.4,0.0,0.0,33512.9
68.71,18719.1,14293.97,54.2,679.6,0.0,0.0,33642.2
68.81,18770.1,14280.92,54.2,680.8,0.0,0.0,33751.0
68.92,18821.2,14267.87,54.2,682.4,0.0,0.0,33860.6
69.03,18882.6,14252.21,54.3,684.3,0.0,0.0,33992.9
69.15,18944.1,14236.56,54.3,686.6,0.0,0.0,34126.2
69.26,18995.5,14223.51,54.3,687.8,0.0,0.0,34238.3
69.37,19046.9,14210.46,54.3,689.4,0.0,0.0,34351.5
69.49,19119.2,14192.19,54.2,691.7,0.0,0.0,34511.6
69.59,19170.8,14179.14,54.1,693.3,0.0,0.0,34626.3
69.70,19222.6,14166.10,53.9,695.0,0.0,0.0,34741.0
69.80,19274.5,14153.05,53.6,696.6,0.0,0.0,34855.2
69.90,19326.5,14140.00,53.3,698.2,0.0,0.0,34968.9
70.01,19388.9,14124.34,52.9,700.2,0.0,0.0,35104.7
70.12,19441.1,14111.29,52.7,701.8,0.0,0.0,35217.5
70.23,19503.8,14095.64,52.4,703.8,0.0,0.0,35353.1
70.34,19556.2,14082.59,52.3,705.4,0.0,0.0,35466.6
70.45,19619.1,14066.93,52.2,707.4,0.0,0.0,35603.0
70.56,19671.6,14053.88,52.1,709.1,0.0,0.0,35716.9
70.67,19734.8,14038.23,52.1,711.1,0.0,0.0,35854.2
70.77,19787.5,14025.18,52.2,712.8,0.0,0.0,35969.5
70.89,19850.9,14009.52,52.2,714.8,0.0,0.0,36109.2
71.00,19903.9,13996.47,52.2,716.5,0.0,0.0,36226.7
71.11,19967.5,13980.82,52.3,718.5,0.0,0.0,36369.4
71.22,20020.6,13967.77,52.3,720.2,0.0,0.0,36489.2
71.33,20084.5,13952.11,52.2,722.3,0.0,0.0,36633.8
71.45,20148.5,13936.45,52.1,724.3,0.0,0.0,36778.8
71.55,20202.0,13923.40,51.9,726.0,0.0,0.0,36899.9
71.65,20255.5,13910.36,51.7,727.7,0.0,0.0,37021.1
71.75,20309.2,13897.31,51.4,729.5,0.0,0.0,37142.1
71.86,20362.9,13884.26,51.1,731.2,0.0,0.0,37263.0
71.97,20427.5,13868.60,50.8,733.3,0.0,0.0,37407.1
72.08,20481.4,13855.56,50.5,735.0,0.0,0.0,37526.6
72.20,20546.3,13839.90,50.3,737.1,0.0,0.0,37669.8
72.31,20611.2,13824.24,50.2,739.2,0.0,0.0,37813.2
72.43,20665.4,13811.19,50.2,741.0,0.0,0.0,37933.5
72.54,20730.6,13795.54,50.1,743.1,0.0,0.0,38079.0
72.65,20796.0,13779.88,50.2,745.2,0.0,0.0,38226.0
72.76,20850.5,13766.83,50.2,747.0,0.0,0.0,38349.5
72.88,20916.1,13751.17,50.2,749.1,0.0,0.0,38498.5
73.01,20970.8,13738.12,50.3,750.9,0.0,0.0,38623.5
73.13,21025.6,13725.08,50.3,752.7,0.0,0.0,38749.3
73.25,21080.6,13712.03,50.2,754.5,0.0,0.0,38876.1
73.35,21146.6,13696.37,50.1,756.6,0.0,0.0,39029.3
73.46,21212.8,13680.71,49.9,758.8,0.0,0.0,39183.5
73.57,21268.0,13667.66,49.6,760.6,0.0,0.0,39312.1
73.70,21345.5,13649.40,49.2,763.2,0.0,0.0,39490.8
73.83,21412.1,13633.74,48.8,765.4,0.0,0.0,39642.7
73.94,21467.7,13620.69,48.5,767.2,0.0,0.0,39768.5
74.05,21534.5,13605.03,48.3,769.4,0.0,0.0,39919.2
74.15,21590.3,13591.99,48.1,771.2,0.0,0.0,40045.2
74.26,21646.2,13578.94,48.0,773.1,0.0,0.0,40171.7
74.37,21713.4,13563.28,47.9,775.3,0.0,0.0,40324.2
74.49,21780.6,13547.62,47.9,777.5,0.0,0.0,40477.2
74.59,21836.8,13534.58,47.9,779.4,0.0,0.0,40605.3
74.71,21893.1,13521.53,48.0,781.2,0.0,0.0,40734.3
74.83,21949.4,13508.48,48.0,783.5,0.0,0.0,40864.4
74.98,21994.6,13498.04,48.1,784.6,0.0,0.0,40969.2
75.08,22017.2,13492.82,48.1,785.4,0.0,0.0,41022.0
75.22,22062.4,13482.38,48.1,786.9,0.0,0.0,41128.1
75.32,22130.4,13466.73,48.1,789.1,0.0,0.0,41289.0
75.45,22198.5,13451.07,48.0,791.4,0.0,0.0,41451.1
75.56,22255.4,13438.02,47.8,793.3,0.0,0.0,41586.3
75.68,22301.0,13427.58,47.6,794.8,0.0,0.0,41694.4
75.78,22369.5,13411.92,47.3,797.1,0.0,0.0,41856.2
75.88,22403.7,13404.09,47.1,798.3,0.0,0.0,41936.8
76.00,22472.4,13388.44,46.7,800.6,0.0,0.0,42097.4
76.12,22541.2,13372.78,46.3,802.9,0.0,0.0,42257.1
76.23,22598.6,13359.73,46.1,804.8,0.0,0.0,42389.6
76.35,22679.2,13341.46,45.9,807.5,0.0,0.0,42574.6
76.46,22736.8,13328.42,45.8,809.5,0.0,0.0,42707.0
76.57,22806.1,13312.76,45.8,811.8,0.0,0.0,42866.7
76.67,22864.0,13299.71,45.8,813.7,0.0,0.0,43000.8
76.78,22921.9,13286.66,45.8,815.7,0.0,0.0,43136.1
76.90,22968.3,13276.23,45.8,817.3,0.0,0.0,43245.1
77.01,23038.1,13260.57,45.9,819.6,0.0,0.0,43410.4
77.14,23119.6,13242.30,45.9,822.4,0.0,0.0,43605.1
77.25,23177.9,13229.25,45.9,824.4,0.0,0.0,43745.1
77.36,23248.1,13213.59,45.9,826.8,0.0,0.0,43914.4
77.47,23306.6,13200.55,45.7,828.7,0.0,0.0,44056.3
77.59,23353.5,13190.11,45.6,830.3,0.0,0.0,44170.2
77.70,23435.8,13171.84,45.2,833.2,0.0,0.0,44369.9
77.82,23494.6,13158.79,44.9,835.2,0.0,0.0,44511.7
77.94,23577.2,13140.53,44.4,838.0,0.0,0.0,44708.2
78.08,23624.5,13130.09,44.2,839.6,0.0,0.0,44819.5
78.22,23695.5,13114.43,43.9,842.0,0.0,0.0,44985.6
78.33,23766.6,13098.77,43.6,844.4,0.0,0.0,45151.8
78.43,23826.0,13085.72,43.5,846.9,0.0,0.0,45290.7
78.54,23861.6,13077.90,43.5,847.7,0.0,0.0,45374.4
78.66,23909.2,13067.46,43.4,849.3,0.0,0.0,45486.6
78.78,23956.9,13057.02,43.4,851.0,0.0,0.0,45599.5
78.93,24040.4,13038.75,43.4,853.8,0.0,0.0,45797.9
79.03,24112.2,13023.09,43.5,856.3,0.0,0.0,45969.2
79.14,24172.0,13010.05,43.5,858.4,0.0,0.0,46113.0
79.24,24232.0,12997.00,43.6,860.4,0.0,0.0,46258.1
79.36,24304.1,12981.34,43.6,862.9,0.0,0.0,46434.2
79.46,24364.3,12968.29,43.6,865.0,0.0,0.0,46582.6
79.56,24412.5,12957.85,43.5,867.5,0.0,0.0,46702.1
79.71,24472.9,12944.81,43.3,868.8,0.0,0.0,46851.7
79.82,24533.4,12931.76,43.1,870.9,0.0,0.0,47000.9
79.93,24593.9,12918.71,42.8,873.0,0.0,0.0,47149.4
80.04,24654.6,12905.66,42.4,875.1,0.0,0.0,47297.0
80.14,24715.3,12892.61,42.1,877.2,0.0,0.0,47443.5
80.26,24788.3,12876.96,41.7,879.7,0.0,0.0,47618.4
80.37,24849.2,12863.91,41.5,881.8,0.0,0.0,47764.0
80.47,24898.0,12853.47,41.3,883.5,0.0,0.0,47880.3
80.58,24971.4,12837.81,41.2,886.1,0.0,0.0,48054.7
80.69,25032.6,12824.76,41.1,888.2,0.0,0.0,48200.3
80.80,25106.1,12809.11,41.1,890.7,0.0,0.0,48376.0
80.91,25167.5,12796.06,41.1,892.9,0.0,0.0,48523.4
81.02,25241.3,12780.40,41.1,895.4,0.0,0.0,48702.1
81.14,25315.2,12764.74,41.2,898.0,0.0,0.0,48882.8
81.26,25389.2,12749.09,41.2,901.1,0.0,0.0,49065.8
81.36,25451.0,12736.04,41.3,902.8,0.0,0.0,49219.6
81.46,25512.9,12722.99,41.2,905.0,0.0,0.0,49374.2
81.57,25574.9,12709.94,41.1,907.2,0.0,0.0,49529.5
81.69,25649.4,12694.29,40.9,909.8,0.0,0.0,49716.3
81.80,25724.0,12678.63,40.6,912.4,0.0,0.0,49903.1
81.92,25798.8,12662.97,40.2,915.0,0.0,0.0,50089.3
82.05,25873.7,12647.31,39.8,917.7,0.0,0.0,50274.1
82.17,25948.8,12631.65,39.4,920.3,0.0,0.0,50456.9
82.28,26023.9,12616.00,39.1,923.4,0.0,0.0,50638.3
82.39,26086.6,12602.95,38.9,925.2,0.0,0.0,50789.2
82.50,26162.0,12587.29,38.8,927.8,0.0,0.0,50970.8
82.60,26224.9,12574.24,38.7,930.0,0.0,0.0,51123.1
82.72,26300.5,12558.58,38.7,932.7,0.0,0.0,51307.4
82.82,26363.6,12545.54,38.7,935.0,0.0,0.0,51462.5
82.94,26439.5,12529.88,38.8,937.7,0.0,0.0,51650.0
83.05,26515.4,12514.22,38.8,940.4,0.0,0.0,51838.7
83.17,26578.8,12501.17,38.9,942.6,0.0,0.0,51997.3
83.28,26655.0,12485.52,38.9,945.3,0.0,0.0,52189.5
83.38,26718.6,12472.47,38.8,947.6,0.0,0.0,52351.3
83.49,26782.3,12459.42,38.7,949.9,0.0,0.0,52514.2
83.60,26858.8,12443.76,38.4,952.6,0.0,0.0,52710.4
83.72,26935.5,12428.11,38.0,955.8,0.0,0.0,52905.8
83.82,26999.5,12415.06,37.7,957.7,0.0,0.0,53067.1
83.93,27063.6,12402.01,37.3,959.9,0.0,0.0,53226.4
84.06,27140.6,12386.35,36.9,962.7,0.0,0.0,53415.8
84.17,27217.7,12370.70,36.6,965.4,0.0,0.0,53604.1
84.27,27282.1,12357.65,36.4,967.7,0.0,0.0,53761.0
84.41,27346.6,12344.60,36.2,970.1,0.0,0.0,53918.6
84.52,27436.9,12326.33,36.1,973.3,0.0,0.0,54140.1
84.62,27501.5,12313.28,36.1,975.6,0.0,0.0,54299.0
84.72,27566.3,12300.24,36.1,977.9,0.0,0.0,54458.7
84.85,27644.0,12284.58,36.2,980.7,0.0,0.0,54651.8
84.97,27721.9,12268.92,36.2,983.5,0.0,0.0,54847.0
85.07,27786.9,12255.87,36.3,985.9,0.0,0.0,55011.5
85.18,27865.1,12240.22,36.3,988.7,0.0,0.0,55211.4
85.28,27930.3,12227.17,36.3,991.1,0.0,0.0,55380.0
85.40,27995.5,12214.12,36.2,993.5,0.0,0.0,55549.6
85.50,28074.0,12198.46,36.0,996.3,0.0,0.0,55753.1
85.61,28139.5,12185.41,35.7,998.7,0.0,0.0,55922.3
85.72,28205.1,12172.37,35.4,1001.1,0.0,0.0,56090.5
85.82,28283.8,12156.71,34.9,1004.4,0.0,0.0,56290.7
85.92,28336.4,12146.27,34.6,1005.8,0.0,0.0,56423.1
86.03,28415.4,12130.61,34.3,1008.7,0.0,0.0,56620.5
86.15,28494.5,12114.96,34.0,1011.6,0.0,0.0,56816.5
86.26,28547.3,12104.52,33.8,1013.5,0.0,0.0,56946.9
86.38,28626.6,12088.86,33.7,1016.4,0.0,0.0,57142.8
86.50,28719.2,12070.59,33.7,1019.7,0.0,0.0,57372.6
86.62,28798.8,12054.93,33.7,1022.6,0.0,0.0,57571.6
86.75,28878.4,12039.28,33.7,1025.5,0.0,0.0,57772.7
86.87,28944.9,12026.23,33.8,1028.0,0.0,0.0,57942.3
86.97,29024.7,12010.57,33.8,1030.9,0.0,0.0,58148.1
87.09,29118.0,11992.30,33.9,1034.4,0.0,0.0,58390.8
87.21,29184.8,11979.26,33.8,1036.8,0.0,0.0,58565.5
87.32,29251.6,11966.21,33.7,1039.8,0.0,0.0,58741.0
87.43,29318.5,11953.16,33.4,1041.7,0.0,0.0,58916.9
87.55,29412.4,11934.89,33.0,1045.2,0.0,0.0,59162.8
87.67,29479.5,11921.84,32.6,1047.7,0.0,0.0,59337.2
87.78,29560.1,11906.19,32.2,1050.7,0.0,0.0,59543.9
87.88,29614.0,11895.75,31.9,1052.6,0.0,0.0,59679.9
87.99,29694.8,11880.09,31.5,1055.6,0.0,0.0,59882.1
88.10,29775.7,11864.43,31.3,1058.6,0.0,0.0,60083.5
88.21,29829.7,11854.00,31.2,1061.1,0.0,0.0,60217.9
88.33,29924.4,11835.73,31.0,1064.1,0.0,0.0,60454.4
88.43,29992.0,11822.68,31.0,1066.6,0.0,0.0,60624.7
88.56,30073.4,11807.02,31.0,1069.6,0.0,0.0,60831.0
88.68,30154.8,11791.37,31.1,1072.6,0.0,0.0,61039.0
88.80,30209.1,11780.93,31.1,1075.1,0.0,0.0,61178.6
88.91,30277.1,11767.88,31.2,1077.1,0.0,0.0,61354.2
89.02,30372.4,11749.61,31.2,1080.7,0.0,0.0,61602.9
89.15,30440.6,11736.56,31.2,1083.2,0.0,0.0,61783.0
89.27,30508.8,11723.52,31.1,1085.8,0.0,0.0,61964.8
89.39,30604.5,11705.25,30.9,1089.4,0.0,0.0,62220.8
89.49,30673.0,11692.20,30.6,1092.5,0.0,0.0,62403.3
89.62,30755.2,11676.54,30.1,1095.0,0.0,0.0,62620.1
89.73,30837.6,11660.88,29.7,1098.1,0.0,0.0,62833.6
89.83,30892.5,11650.45,29.3,1100.2,0.0,0.0,62974.1
89.94,30961.3,11637.40,29.0,1102.7,0.0,0.0,63148.3
90.07,31043.8,11621.74,28.7,1105.8,0.0,0.0,63356.4
90.18,31112.7,11608.69,28.5,1108.4,0.0,0.0,63529.7
90.29,31195.5,11593.04,28.3,1111.5,0.0,0.0,63738.3
